wave,0_1_cont_active,0_2_cont_synth,0_3_cont_tr_normed,0_4_cont_np_normed,0_5_cont_en_normed,1_0_res_en_normed_tr_normed,1_1_res_np_normed_tr_normed,1_2_res_nns_tr_normed,1_3_res_nna_tr_normed,1_4_err_lower,1_5_err_upper
5656.200000011713,581.4285900311829,579.3446557609292,576.0419777780165,578.0037929673352,576.1288341232921,-0.00015075854588631005,-0.00015075854588631005,-0.005700678276364317,-0.009264472248503637,-0.0018541141863422106,0.0018541141863422106
5656.500000011715,581.9208595246861,578.6221776240794,576.0222784804228,577.9091480123325,575.9542460358962,0.00011812126569903416,0.00011812126569903416,-0.004493238590689311,-0.010136409153610007,-0.0021351184161997575,0.0021351184161997575
5656.800000011717,582.4652842122174,578.2067144657906,576.0021015535787,577.8141142989349,575.7993521033707,0.0003521182326227108,0.0003521182326227108,-0.0038128460455692536,-0.011096254620503418,-0.0018876787998367477,0.0018876787998367477
5657.100000011719,582.960951786574,579.7215977738109,575.9897582594934,577.7276117660152,575.6892382057882,0.0005220178418512461,0.0005220178418512461,-0.006437036519300624,-0.011958216610943831,-0.0010485328561694496,0.0010485328561694496
5657.400000011721,583.3034503761421,583.5600563826307,575.9586105767798,577.6233450279962,575.5773603236723,0.0006623788206211555,0.0006623788206211555,-0.013023981418426572,-0.012591659847531576,-0.001938280584698872,0.001938280584698872
5657.700000011723,583.3883513293958,584.4295732666121,576.0208091493315,577.612210379088,575.5721820500488,0.0007794454167065473,0.0007794454167065473,-0.01438775767312124,-0.012628862651039406,-0.0013623961538542374,0.0013623961538542374
5658.000000011725,583.11486442786,583.5015517080304,575.9236340295786,577.4430285157141,575.4224152619964,0.0008710449128991117,0.0008710449128991117,-0.012987169882213627,-0.012332741793472893,-0.0016731671911601464,0.0016731671911601464
5658.300000011727,582.4887059428311,583.535318335304,575.9551897694744,577.4022735408596,575.4150124552976,0.0009387612462035073,0.0009387612462035073,-0.01298998827741931,-0.011216650949654152,-0.0013990243322794312,0.0013990243322794312
5658.600000011729,581.6322755830374,583.3411273800695,575.9795165671795,577.3562204864008,575.4125598811873,0.0009853046761949503,0.0009853046761949503,-0.012619526548948917,-0.0097185423672048,-0.0027592077426825106,0.0027592077426825106
5658.900000011731,580.6741259458088,581.9381872910149,575.9569153478037,577.2651165284007,575.3767705415802,0.001008286806013261,0.001008286806013261,-0.010278033171027476,-0.008123598463549687,-0.0022954589086612727,0.0022954589086612727
5659.200000011733,579.7428656186079,579.9970333969311,575.96083691813,577.2003249896934,575.3777625383409,0.0010133766331476427,0.0010133766331476427,-0.006959029901582947,-0.0065236488756568855,-0.00339949100512267,0.00339949100512267
5659.500000011735,578.9628961440504,578.5574864853407,575.9699160354843,577.141939797425,575.3945210287267,0.0010000008441667396,0.0010000008441667396,-0.004472435914601086,-0.005169543316625183,-0.0022466694356868037,0.0022466694356868037
5659.800000011737,578.3815359656127,577.9555537250301,575.9817714512287,577.0875893311897,575.4238617995965,0.0009695629407641001,0.0009695629407641001,-0.0034151010955658064,-0.00414908543552243,-0.0011501376526179578,0.0011501376526179578
5660.100000011739,577.97742632693,577.9012658124257,575.9995243519426,577.0409038529215,575.4682450515496,0.0009232121927864245,0.0009232121927864245,-0.003290764510614558,-0.0034221316292960247,-0.0024492705921531173,0.0024492705921531173
5660.400000011741,577.7269834520434,578.0834671348325,576.0158829310786,576.9940535323586,575.5201623057579,0.0008613436292739652,0.0008613436292739652,-0.0035766192355423387,-0.002961780072102115,-0.0013947048865507012,0.0013947048865507012
5660.700000011743,577.6065900852843,578.190665115551,576.0399220130854,576.9552413845437,575.5870545741236,0.000786792259073424,0.000786792259073424,-0.0037197827598815887,-0.0027123463011830377,-0.0019771473331480476,0.0019771473331480476
5661.000000011745,577.5925432799617,577.9294582779007,576.0672603127063,576.9228006090681,575.66455683025,0.0006995453822511423,0.0006995453822511423,-0.003222205694941285,-0.0026407583853203247,-0.002582410057390885,0.002582410057390885
5661.300000011747,577.661241235306,577.2944651409471,576.0935975414171,576.889288715807,575.7468686322147,0.0006022245679359066,0.0006022245679359066,-0.00208016022901622,-0.0027137773789633235,-0.0014499513704246114,0.0014499513704246114
5661.600000011749,577.78904343421,576.5142624494522,576.124054658735,576.8627799915442,575.8393423507455,0.0004944301075837754,0.0004944301075837754,-0.0006769769933873671,-0.0028816285310857815,-0.0024915599947062292,0.0024915599947062292
5661.900000011751,577.9522882162345,575.8241721088892,576.1428996121125,576.8262627062728,575.9246119300581,0.00037902127732117606,0.00037902127732117606,0.0005534105815288064,-0.0031306569518882565,-0.0023348446464246586,0.0023348446464246586
5662.200000011753,578.1273491514429,575.4595498123247,576.2380315842265,576.8676827797161,576.0906537192703,0.0002558240860265324,0.0002558240860265324,0.0013527674891008448,-0.0032679463638264146,-0.002614779973336127,0.002614779973336127
5662.500000011755,578.2918384274093,575.6323885517909,576.2512866630731,576.8291530705789,576.1783162885849,0.00012664547141966355,0.00012664547141966355,0.0010752820785396562,-0.003528543792267232,-0.003278866808757765,0.003278866808757765
5662.800000011757,578.4381557918872,576.280018467766,576.324239238723,576.8523848138367,576.3282605092937,-6.977396123513171e-06,-6.977396123513171e-06,7.643402958913037e-05,-0.003654576298160351,-0.0020008336370835717,0.0020008336370835717
